compound_id,partition,leakage_group,merged_group,structural_cluster,smiles,CDK2_nM,CDK1_nM_or_lower_bound,CDK1_IC50_relation,ratio_or_lower_bound,ratio_relation,joint_biochemical_gate
HC-744d18720e0816664a6f88cf,train,HG-05051badea1c8ba5b5aa0350,41,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3CCOC3)ncc2C12CC2,61.000000000000014,7500.000000000001,=,122.95081967213113,=,True
HC-73007618db6a4686b9849357,train,HG-792fc1c93190867faac66033,42,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4c3CCCC4)ncc2C12CC2,49.00000000000002,10000.0,>=,204.08163265306115,>=,True
HC-6ed48c1d15c50be7cd6cf34d,train,HG-cee79b5379a84b96b292c391,43,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3CCOCC3)ncc2C12CC2,255.00000000000017,10000.0,>=,39.21568627450978,>=,False
HC-febdaa1aad2e1f92fe314828,train,HG-03471e78123b49acf2b2acb8,44,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC[C@H]3COCC3(F)F)ncc2C12CC2,32.00000000000002,3289.9999999999977,=,102.81249999999986,=,True
HC-66a1ca61302e3d64e8ec01b6,train,HG-91ca5d2b11684e5cb8f57d10,45,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O)ncc2C12CC2,120.99999999999993,5819.999999999995,=,48.099173553719,=,False
HC-93bbe4e621673d55f3fd1e2e,train,HG-a6fc6fb5e53cb0d4f44a0eaf,46,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4cccnc34)ncc2C12CC2,6.000000000000003,409.99999999999994,=,68.33333333333329,=,True
HC-4c60398359e068a84858cc32,train,HG-13edafaaf53ce550800f71c1,47,0,CO[C@H]1C[C@H](Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,26.000000000000014,2529.9999999999977,=,97.30769230769216,=,True
HC-34f9af60e80c3405011799c6,train,HG-9f80ced2c651bd85a1ea8987,48,0,Cn1ncc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)c1C(F)(F)F,88.0000000000001,10000.0,>=,113.63636363636351,>=,True
HC-7aad80e164dd6a9989eb4fcf,development,HG-aca79a11fd03e794a2e794be,49,0,Cn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,37.99999999999999,1539.9999999999986,=,40.52631578947365,=,True
HC-9ca190aed0660d2adc247ebc,development,HG-26e127251287caa1e909764e,50,0,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@H]1C[C@H](O)CC(C)(C)C1)C(=O)C21CC1,136.0000000000001,5990.000000000002,=,44.0441176470588,=,False
HC-f417a6de46dac061f520d36b,development,HG-5b0623782ad95ea76c5e244c,51,0,O=C1N([C@@H]2CCCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3Cl)ncc2C12CC2,44.00000000000004,4119.999999999999,=,93.63636363636353,=,True
HC-ebf98fb38e148327eba73ed9,development,HG-d560e234ba08ca1d9d221ab1,52,0,Cn1cc(Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,54.00000000000007,3159.9999999999973,=,58.51851851851839,=,True
HC-4f389ca3ec30c24d33940bc9,development,HG-03a13fe4d3c1ef281614bfa5,53,0,Cc1c(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cnn1C,31.00000000000003,10000.0,>=,322.58064516129,>=,True
HC-ce34681968f73699c4f6878c,development,HG-6dd1aadcbc09b0a7a5be95e7,54,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCO)ncc2C12CC2,24.000000000000018,3740.000000000005,=,155.8333333333334,=,True
HC-0e61d12135d0e4cf103c865a,development,HG-9dc7db6b64cfcded9b1b6b8a,55,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3ccccn3)ncc2C12CC2,161.99999999999994,10000.0,>=,61.72839506172842,>=,False
HC-ef6de8e9d45c5fe0e57df35a,development,HG-ba856cbca32df17918e63466,56,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3-c3cnn4ccncc34)ncc2C12CC2,12.000000000000007,2190.000000000001,=,182.49999999999994,=,True
HC-eefff8b403ec697177217678,development,HG-36290b45f877bfbb7d986755,57,0,C[C@]1(O)C[C@H](COc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,53.000000000000014,4490.000000000001,=,84.71698113207546,=,True
HC-7d858bf05aaf33907ba08157,development,HG-eb6c4195550877734a57dee9,58,0,Cn1cc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,28.99999999999997,6009.999999999995,=,207.24137931034488,=,True
HC-330442967ef2f2bee396839a,development,HG-849bcc0df3198dad262afc45,59,0,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OC3(CF)CC3)ncc2C12CC2,27.000000000000032,1710.000000000001,=,63.33333333333329,=,True
